Area,Element,Item,Year,Unit,Value
Argentina,Yield,Apples,2016,hg/ha,223912.0
Argentina,Yield,Apples,2017,hg/ha,235386.0
Argentina,Yield,Apples,2018,hg/ha,213072.0
Argentina,Production,Apples,2016,tonnes,458908.0
Argentina,Production,Apples,2017,tonnes,458908.0
Argentina,Production,Apples,2018,tonnes,510478.0
Argentina,Yield,Bananas,2016,hg/ha,209247.0
Argentina,Yield,Bananas,2017,hg/ha,209343.0
Argentina,Yield,Bananas,2018,hg/ha,209440.0
Argentina,Production,Bananas,2016,tonnes,174644.0
Argentina,Production,Bananas,2017,tonnes,174615.0
Argentina,Production,Bananas,2018,tonnes,174585.0
Argentina,Yield,Cherries,2016,hg/ha,28417.0
Argentina,Yield,Cherries,2017,hg/ha,30220.0
Argentina,Yield,Cherries,2018,hg/ha,29790.0
Argentina,Production,Cherries,2016,tonnes,7207.0
Argentina,Production,Cherries,2017,tonnes,7246.0
Argentina,Production,Cherries,2018,tonnes,7285.0
Argentina,Yield,Tomatoes,2016,hg/ha,393807.0
Argentina,Yield,Tomatoes,2017,hg/ha,394319.0
Argentina,Yield,Tomatoes,2018,hg/ha,394832.0
Argentina,Production,Tomatoes,2016,tonnes,658237.0
Argentina,Production,Tomatoes,2017,tonnes,655861.0
Argentina,Production,Tomatoes,2018,tonnes,653485.0
Brazil,Yield,Apples,2016,hg/ha,308465.0
Brazil,Yield,Apples,2017,hg/ha,392355.0
Brazil,Yield,Apples,2018,hg/ha,361805.0
Brazil,Production,Apples,2016,tonnes,1055383.0
Brazil,Production,Apples,2017,tonnes,1307642.0
Brazil,Production,Apples,2018,tonnes,1195007.0
Brazil,Yield,Bananas,2016,hg/ha,142855.0
Brazil,Yield,Bananas,2017,hg/ha,142728.0
Brazil,Yield,Bananas,2018,hg/ha,150287.0
Brazil,Production,Bananas,2016,tonnes,6625211.0
Brazil,Production,Bananas,2017,tonnes,6584967.0
Brazil,Production,Bananas,2018,tonnes,6752171.0
Brazil,Yield,Tomatoes,2016,hg/ha,651112.0
Brazil,Yield,Tomatoes,2017,hg/ha,688145.0
Brazil,Yield,Tomatoes,2018,hg/ha,719404.0
Brazil,Production,Tomatoes,2016,tonnes,4166789.0
Brazil,Production,Tomatoes,2017,tonnes,4225414.0
Brazil,Production,Tomatoes,2018,tonnes,4110242.0
United States of America,Yield,Apples,2016,hg/ha,391856.0
United States of America,Yield,Apples,2017,hg/ha,394569.0
United States of America,Yield,Apples,2018,hg/ha,394802.0
United States of America,Production,Apples,2016,tonnes,5214040.0
United States of America,Production,Apples,2017,tonnes,5240670.0
United States of America,Production,Apples,2018,tonnes,4652500.0
United States of America,Yield,Bananas,2016,hg/ha,115204.0
United States of America,Yield,Bananas,2017,hg/ha,158413.0
United States of America,Yield,Bananas,2018,hg/ha,163756.0
United States of America,Production,Bananas,2016,tonnes,3387.0
United States of America,Production,Bananas,2017,tonnes,3992.0
United States of America,Production,Bananas,2018,tonnes,4274.0
United States of America,Yield,Cherries,2016,hg/ha,86902.0
United States of America,Yield,Cherries,2017,hg/ha,108960.0
United States of America,Yield,Cherries,2018,hg/ha,90828.0
United States of America,Production,Cherries,2016,tonnes,315454.0
United States of America,Production,Cherries,2017,tonnes,398140.0
United States of America,Production,Cherries,2018,tonnes,312430.0
United States of America,Yield,Tomatoes,2016,hg/ha,911398.0
United States of America,Yield,Tomatoes,2017,hg/ha,886625.0
United States of America,Yield,Tomatoes,2018,hg/ha,968079.0
United States of America,Production,Tomatoes,2016,tonnes,12877049.0
United States of America,Production,Tomatoes,2017,tonnes,11141862.0
United States of America,Production,Tomatoes,2018,tonnes,12612139.0
